dataset_id,method,family,seed_a,seed_b,knn_overlap,distance_rank_concordance,n_cells_evaluated,n_sampled_pairs,k,n_definition
pbmc3k,UMAP,graph,0,2,0.3341167551,0.6896424557,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,0,3,0.3372251706,0.8786923122,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,0,4,0.3381854941,0.9253096604,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,1,2,0.3323730099,0.9749663348,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,1,3,0.3469547637,0.8246262035,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,1,4,0.344250695,0.7813238712,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,2,3,0.3347232752,0.7868565034,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,2,4,0.3485974223,0.7791042896,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,UMAP,graph,3,4,0.3432650998,0.8941649449,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,1,0.4473843821,0.9981281379,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,2,0.4492797574,0.9986194686,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,3,0.4367197372,0.9953426946,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,0,4,0.3621683093,0.987550295,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,1,2,0.4354056103,0.9979404718,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,1,3,0.4322971948,0.9966021626,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,1,4,0.3515794794,0.9892902513,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,2,3,0.4611827142,0.9954355841,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,2,4,0.3663886783,0.9874154531,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PHATE,graph,3,4,0.4102097549,0.9943832803,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,1,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,2,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,0,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,1,2,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,1,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,1,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,2,3,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,2,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,t-SNE,relational,3,4,1,1,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,0,1,0.3107151883,0.958851178,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,0,2,0.3066969927,0.9528406059,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,0,3,0.3185746778,0.960209097,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,0,4,0.3074045994,0.9601751392,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,1,2,0.3015415719,0.9895101536,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,1,3,0.306520091,0.9906322512,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,1,4,0.3127116502,0.9914644828,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,2,3,0.3072276978,0.9888203966,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,2,4,0.3166793025,0.9900432447,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
pbmc3k,PaCMAP,relational,3,4,0.3158200657,0.9914241311,2638,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,0,1,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,0,2,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,0,3,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,0,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,1,2,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,1,3,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,1,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,2,3,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,2,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PCA,factor,3,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,0,1,0.4778021978,0.9676930256,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,0,2,0.8110866911,0.9939451344,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,0,3,0.6891819292,0.9936570342,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,0,4,0.8163858364,0.9966569532,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,1,2,0.5309401709,0.9743717437,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,1,3,0.5457142857,0.9718068895,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,1,4,0.4917216117,0.9678380398,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,2,3,0.6742857143,0.9887856113,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,2,4,0.7428815629,0.9890751346,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,GLM-PCA,factor,3,4,0.7333821734,0.9956611034,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,0,1,0.3415140415,0.9382385994,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,0,2,0.3245177045,0.9420188246,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,0,3,0.3244932845,0.948333289,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,0,4,0.3124542125,0.9428875282,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,1,2,0.345030525,0.9736699695,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,1,3,0.341978022,0.9626128316,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,1,4,0.3305738706,0.9690034369,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,2,3,0.3356776557,0.9680115791,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,2,4,0.3366544567,0.963746371,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,scScope,deep,3,4,0.3288644689,0.952940092,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,0,1,0.667985348,0.9929668442,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,0,2,0.6434676435,0.9879541107,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,0,3,0.6676434676,0.9871603261,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,0,4,0.6694261294,0.9931545831,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,1,2,0.6382905983,0.9731283372,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,1,3,0.65003663,0.967777832,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,1,4,0.6418315018,0.9969711893,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,2,3,0.6483028083,0.9948331044,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,2,4,0.6402442002,0.9716231718,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,SAUCIE,deep,3,4,0.6422954823,0.967995341,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,0,1,0.4972649573,0.9839534275,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,0,2,0.4897680098,0.978850001,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,0,3,0.4950671551,0.9772745722,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,0,4,0.5197313797,0.9800697419,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,1,2,0.6004884005,0.9920289886,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,1,3,0.5887179487,0.9919597262,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,1,4,0.5694749695,0.9901740529,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,2,3,0.6107692308,0.997358758,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,2,4,0.5936019536,0.9908876975,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,UMAP,graph,3,4,0.5822466422,0.9908366616,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,0,1,0.5255921856,0.9988641682,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,0,2,0.5452258852,0.9994388123,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,0,3,0.6151159951,0.999845129,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,0,4,0.6128449328,0.999751919,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,1,2,0.5977045177,0.9997550797,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,1,3,0.5408058608,0.9991205159,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,1,4,0.5388034188,0.9993062968,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,2,3,0.5528693529,0.9995862101,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,2,4,0.5607081807,0.9997427652,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PHATE,graph,3,4,0.5975335775,0.9997760444,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,0,1,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,0,2,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,0,3,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,0,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,1,2,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,1,3,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,1,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,2,3,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,2,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,t-SNE,relational,3,4,1,1,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,0,1,0.5344322344,0.9984491297,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,0,2,0.5133821734,0.9978997035,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,0,3,0.5269352869,0.9984992148,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,0,4,0.5413919414,0.9983224795,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,1,2,0.5065201465,0.9980631622,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,1,3,0.5145299145,0.9982627105,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,1,4,0.5441269841,0.9983945488,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,2,3,0.5321367521,0.997835418,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,2,4,0.5044200244,0.9978847177,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
paul15,PaCMAP,relational,3,4,0.5202442002,0.9981265914,2730,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,0,1,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,0,2,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,0,3,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,0,4,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,1,2,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,1,3,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,1,4,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,2,3,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,2,4,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,PCA,factor,3,4,1,1,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,GLM-PCA,factor,0,1,0.03196666667,0.8258398298,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,GLM-PCA,factor,0,2,0.1236416667,0.8992775482,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
heart_cell_atlas_subsampled,GLM-PCA,factor,0,3,0.06941666667,0.8469913499,8000,5000,15,one pair of computational random-seed runs; seed pairs are not biological replicates
