dataset_id,method,family,claim_gate,boundary_shift,gate_pass,component_count,limiting_margin,components,n_definition,baseline_pass,unchanged_from_baseline,decision_change
heart_cell_atlas_subsampled,GLM-PCA,factor,label_support_gate,-0.05,True,1,0.298025,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,scScope,deep,local_neighbourhood_gate,-0.05,False,2,-0.1516833333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,scScope,deep,label_support_gate,-0.05,True,1,0.3542833333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,SAUCIE,deep,local_neighbourhood_gate,-0.05,False,2,-0.1842333333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,SAUCIE,deep,label_support_gate,-0.05,True,1,0.357975,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,UMAP,graph,local_neighbourhood_gate,-0.05,True,2,0.00995,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,False,gained_support
heart_cell_atlas_subsampled,UMAP,graph,label_support_gate,-0.05,True,1,0.450725,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PHATE,graph,local_neighbourhood_gate,-0.05,False,2,-0.04665833333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PHATE,graph,label_support_gate,-0.05,True,1,0.4380083333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,t-SNE,relational,local_neighbourhood_gate,-0.05,True,2,0.133373128,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,t-SNE,relational,label_support_gate,-0.05,True,1,0.4617583333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PaCMAP,relational,local_neighbourhood_gate,-0.05,False,2,-0.01873333333,local_retention;trustworthiness,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PaCMAP,relational,label_support_gate,-0.05,True,1,0.4498083333,label_neighbor_recall,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PCA,factor,global_geometry_gate,-0.05,True,1,0.2516416813,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,GLM-PCA,factor,global_geometry_gate,-0.05,True,1,0.1306042454,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,scScope,deep,global_geometry_gate,-0.05,False,1,-0.1359395585,global_rank_corr,one applicable method-dataset-claim gate decision,False,True,unchanged
pbmc3k,SAUCIE,deep,global_geometry_gate,-0.05,True,1,0.2397636671,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,UMAP,graph,global_geometry_gate,-0.05,True,1,0.1246826843,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PHATE,graph,global_geometry_gate,-0.05,True,1,0.1462702858,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,t-SNE,relational,global_geometry_gate,-0.05,True,1,0.1875265287,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
pbmc3k,PaCMAP,relational,global_geometry_gate,-0.05,True,1,0.231109789,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PCA,factor,global_geometry_gate,-0.05,True,1,0.2974668149,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,GLM-PCA,factor,global_geometry_gate,-0.05,True,1,0.2530593231,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,scScope,deep,global_geometry_gate,-0.05,True,1,0.1447585904,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,SAUCIE,deep,global_geometry_gate,-0.05,True,1,0.1713198126,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,UMAP,graph,global_geometry_gate,-0.05,True,1,0.238040125,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PHATE,graph,global_geometry_gate,-0.05,True,1,0.2013020684,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,t-SNE,relational,global_geometry_gate,-0.05,True,1,0.2216594589,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
paul15,PaCMAP,relational,global_geometry_gate,-0.05,True,1,0.2832359127,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PCA,factor,global_geometry_gate,-0.05,True,1,0.3385727893,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,GLM-PCA,factor,global_geometry_gate,-0.05,True,1,0.1173644264,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,scScope,deep,global_geometry_gate,-0.05,False,1,-0.07162812735,global_rank_corr,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,SAUCIE,deep,global_geometry_gate,-0.05,True,1,0.09778152761,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,UMAP,graph,global_geometry_gate,-0.05,False,1,-0.09660208699,global_rank_corr,one applicable method-dataset-claim gate decision,False,True,unchanged
heart_cell_atlas_subsampled,PHATE,graph,global_geometry_gate,-0.05,True,1,0.1349083992,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,t-SNE,relational,global_geometry_gate,-0.05,True,1,0.100670363,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
heart_cell_atlas_subsampled,PaCMAP,relational,global_geometry_gate,-0.05,True,1,0.1628977729,global_rank_corr,one applicable method-dataset-claim gate decision,True,True,unchanged
