scenario,replicate,method,family,seed,n_metrics,fraction_pass,mean_threshold_margin,minimum_threshold_margin,n_definition
branching_trajectory,1,t-SNE,relational,3001,5,0.6,-0.01904250486,-0.210462963,one method-scenario-generated-dataset run
branching_trajectory,2,GLM-PCA,factor,3002,5,0.6,0.06847534089,-0.1573148148,one method-scenario-generated-dataset run
branching_trajectory,2,PCA,factor,3002,5,0.4,0.02034346322,-0.1842592593,one method-scenario-generated-dataset run
branching_trajectory,2,PHATE,graph,3002,5,0.4,0.04257620891,-0.1899074074,one method-scenario-generated-dataset run
branching_trajectory,2,PaCMAP,relational,3002,5,0.6,0.07858895833,-0.180462963,one method-scenario-generated-dataset run
branching_trajectory,2,SAUCIE,deep,3002,5,0.6,0.08148648372,-0.1753703704,one method-scenario-generated-dataset run
branching_trajectory,2,UMAP,graph,3002,5,0.6,0.03038889382,-0.192037037,one method-scenario-generated-dataset run
branching_trajectory,2,scScope,deep,3002,5,0.6,0.05033608157,-0.1982407407,one method-scenario-generated-dataset run
branching_trajectory,2,t-SNE,relational,3002,5,0.2,-0.06501322749,-0.2053703704,one method-scenario-generated-dataset run
branching_trajectory,3,GLM-PCA,factor,3003,5,0.4,0.02707585281,-0.1628703704,one method-scenario-generated-dataset run
branching_trajectory,3,PCA,factor,3003,5,0.4,-0.00300268168,-0.1781481481,one method-scenario-generated-dataset run
branching_trajectory,3,PHATE,graph,3003,5,0.4,0.03684810517,-0.1766666667,one method-scenario-generated-dataset run
branching_trajectory,3,PaCMAP,relational,3003,5,0.6,0.05432103098,-0.1909259259,one method-scenario-generated-dataset run
branching_trajectory,3,SAUCIE,deep,3003,5,0.6,0.03725846761,-0.1903703704,one method-scenario-generated-dataset run
branching_trajectory,3,UMAP,graph,3003,5,0.6,0.03460988002,-0.190462963,one method-scenario-generated-dataset run
branching_trajectory,3,scScope,deep,3003,5,0.4,-0.01392224529,-0.2096296296,one method-scenario-generated-dataset run
branching_trajectory,3,t-SNE,relational,3003,5,0.4,-0.0337342645,-0.2038888889,one method-scenario-generated-dataset run
branching_trajectory,4,GLM-PCA,factor,3004,5,0.4,0.0681907468,-0.1606481481,one method-scenario-generated-dataset run
