dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,relative_threshold_margin,dataset_label,metric_label,column_label,value_definition
heart_cell_atlas_subsampled,GLM-PCA,factor,0,global_rank_corr,0.5173644264,,8000,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.1496987252,Heart atlas,Global,Heart atlas | Global,run-level continuous diagnostic value; no binary aggregation
heart_cell_atlas_subsampled,GLM-PCA,factor,0,label_neighbor_recall,0.798025,15,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.4509545455,Heart atlas,Same-label,Heart atlas | Same-label,run-level continuous diagnostic value; no binary aggregation
pbmc3k,scScope,deep,0,local_retention,0.03629011878,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.8790329374,PBMC3k,Local,PBMC3k | Local,run-level continuous diagnostic value; no binary aggregation
pbmc3k,scScope,deep,0,trustworthiness,0.755407978,15,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.1606578022,PBMC3k,Trust,PBMC3k | Trust,run-level continuous diagnostic value; no binary aggregation
pbmc3k,scScope,deep,0,global_rank_corr,0.2640604415,,2638,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,-0.4131990189,PBMC3k,Global,PBMC3k | Global,run-level continuous diagnostic value; no binary aggregation
pbmc3k,scScope,deep,0,label_neighbor_recall,0.7161991408,15,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.3021802559,PBMC3k,Same-label,PBMC3k | Same-label,run-level continuous diagnostic value; no binary aggregation
paul15,scScope,deep,0,local_retention,0.07538461538,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,-0.7487179487,Paul15,Local,Paul15 | Local,run-level continuous diagnostic value; no binary aggregation
paul15,scScope,deep,0,trustworthiness,0.8605419134,15,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,-0.04384231839,Paul15,Trust,Paul15 | Trust,run-level continuous diagnostic value; no binary aggregation
paul15,scScope,deep,0,global_rank_corr,0.5447585904,,2730,50,5000 sampled cell pairs per method-dataset-seed run; pairs are computational subsamples,0.45,0.2105746454,Paul15,Global,Paul15 | Global,run-level continuous diagnostic value; no binary aggregation
paul15,scScope,deep,0,label_neighbor_recall,0.6096459096,15,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,0.1084471084,Paul15,Same-label,Paul15 | Same-label,run-level continuous diagnostic value; no binary aggregation
