method,local_retention,trustworthiness,global_rank_corr,label_neighbor_recall
PCA,0.033017338217338196,0.04535361336725874,0.0869311079180276,0.44830797372116576
GLM-PCA,0.0187523940973523,0.03756207979581094,0.13569489673486312,0.3176400888303843
scScope,0.06202654788981549,0.1456986984666372,0.2806981489398818,0.24463742368742358
SAUCIE,0.0386289377289378,0.03403588307792205,0.14198213949704186,0.4066361925497636
UMAP,0.1416027672479151,0.10996924541999997,0.334642211958379,0.4434234126984128
PHATE,0.1132987048268891,0.11207095617183838,0.06639366922711476,0.5596200549450548
t-SNE,0.1719933409148345,0.09288164469741955,0.12098909591379414,0.43892561050061085
PaCMAP,0.1176199646196614,0.1021727166734453,0.12033813981657604,0.41222591575091583
