metric,failure_fraction,n_rows
cell_type_label_recall,0.0,8
pseudotime_neighborhood_retention,0.0,8
global_rank_corr,0.125,24
label_neighbor_recall,0.2916666666666667,24
donor_entropy_norm,0.375,8
trustworthiness,0.6666666666666666,24
local_retention,0.9166666666666666,24
pseudotime_rank_corr,1.0,8
