dataset_id,method,navigation_group,reference_pca_dimensions,k,local_retention,analytic_random_expectation,normalised_excess_overlap,fixed_operational_boundary,meets_boundary,evaluation_cells,n_definition
pbmc3k,PaCMAP,relational,2,50,0.31328,0.05005005005,0.2770987566,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,5,5,0.1726,0.005005005005,0.1684380282,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,5,5,0.0564,0.005005005005,0.05165352113,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,5,5,0.0368,0.005005005005,0.03195492958,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,5,5,0.1266,0.005005005005,0.1222066398,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,5,5,0.0998,0.005005005005,0.09527183099,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,5,5,0.099,0.005005005005,0.09446780684,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,5,5,0.099,0.005005005005,0.09446780684,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,5,5,0.1194,0.005005005005,0.1149704225,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,5,15,0.288,0.01501501502,0.2771463415,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,GLM-PCA,factor,5,15,0.1182666667,0.01501501502,0.1048256098,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,scScope,deep,5,15,0.08446666667,0.01501501502,0.07051036585,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,SAUCIE,deep,5,15,0.2606666667,0.01501501502,0.2493963415,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,UMAP,graph,5,15,0.2132666667,0.01501501502,0.2012737805,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PHATE,graph,5,15,0.198,0.01501501502,0.1857743902,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,t-SNE,relational,5,15,0.1976666667,0.01501501502,0.1854359756,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PaCMAP,relational,5,15,0.2391333333,0.01501501502,0.2275347561,0.3,False,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
pbmc3k,PCA,factor,5,30,0.3822333333,0.03003003003,0.3631074303,0.3,True,1000,"one method-dataset-reference-dimension-k analysis on the fixed 1,000-cell evaluation subset"
