scenario,method,family,metric,claim_axis,decision_agreement,n_replicate_pairs,value_mean,value_sd,value_minimum,value_maximum,value_range,pass_fraction,n_generated_datasets,n_definition
linear_low_rank,PaCMAP,relational,truth_local_retention,truth_geometry,1,10,0.07227777778,0.003288406079,0.06842592593,0.07592592593,0.0075,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PaCMAP,relational,truth_trustworthiness,truth_geometry,1,10,0.8547271375,0.001704711845,0.8528766141,0.8566414262,0.003764812158,0,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PaCMAP,relational,latent_distance_corr,truth_geometry,1,10,0.8293963027,0.01106253954,0.8112735472,0.8390899414,0.02781639422,1,5,five independently generated datasets and ten generated-dataset pairs
linear_low_rank,PaCMAP,relational,label_neighbor_recall,cell_state_support,1,10,0.9951851852,0.004063011074,0.9894444444,0.9982407407,0.008796296296,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,truth_local_retention,truth_geometry,1,10,0.134,0.01010307814,0.1161111111,0.14,0.02388888889,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.8809461714,0.006547911558,0.873468569,0.8911343589,0.01766578989,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,latent_distance_corr,truth_geometry,1,10,0.7301953912,0.01132713587,0.7186448855,0.7466569847,0.0280120992,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.8567222222,0.02424596752,0.8299074074,0.8826851852,0.05277777778,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PCA,factor,pseudotime_distance_corr,continuum_support,1,10,0.6291117738,0.0271477305,0.5956714951,0.6606042852,0.06493279017,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,truth_local_retention,truth_geometry,1,10,0.164,0.007755534773,0.1537962963,0.175462963,0.02166666667,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.9044939954,0.004987543921,0.9000387906,0.9121686859,0.01212989532,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,latent_distance_corr,truth_geometry,1,10,0.7859725461,0.01042579256,0.7688515898,0.7972710883,0.02841949844,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.9077222222,0.02097815916,0.8725,0.9284259259,0.05592592593,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,GLM-PCA,factor,pseudotime_distance_corr,continuum_support,1,10,0.6651773764,0.02569447478,0.6258704607,0.6921772753,0.06630681456,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,truth_local_retention,truth_geometry,1,10,0.1215925926,0.007508968118,0.1133333333,0.1299074074,0.01657407407,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,truth_trustworthiness,truth_geometry,1,10,0.8409571444,0.01811959605,0.8217021361,0.8668509219,0.0451487858,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,latent_distance_corr,truth_geometry,1,10,0.5475621444,0.08453283325,0.4580453784,0.6463024653,0.1882570869,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,label_neighbor_recall,cell_state_support,1,10,0.8534444444,0.03191728582,0.8116666667,0.8981481481,0.08648148148,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,scScope,deep,pseudotime_distance_corr,continuum_support,0.6,10,0.5291810311,0.1299169521,0.3074093716,0.6116381198,0.3042287481,0.8,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,SAUCIE,deep,truth_local_retention,truth_geometry,1,10,0.1543703704,0.01237980623,0.1425,0.1748148148,0.03231481481,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,SAUCIE,deep,truth_trustworthiness,truth_geometry,0.6,10,0.8980337956,0.007331573923,0.892446198,0.9108794304,0.01843323237,0.2,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,SAUCIE,deep,latent_distance_corr,truth_geometry,1,10,0.7023639291,0.06130030923,0.5986948312,0.7535969781,0.1549021469,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,SAUCIE,deep,label_neighbor_recall,cell_state_support,1,10,0.932037037,0.04945987414,0.8444444444,0.9626851852,0.1182407407,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,SAUCIE,deep,pseudotime_distance_corr,continuum_support,0.6,10,0.6873153834,0.1948615341,0.4253678946,0.8833616146,0.45799372,0.8,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,UMAP,graph,truth_local_retention,truth_geometry,1,10,0.1298333333,0.01277012653,0.1108333333,0.1409259259,0.03009259259,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,UMAP,graph,truth_trustworthiness,truth_geometry,1,10,0.8765385249,0.00965615376,0.8612224348,0.8859040066,0.02468157182,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,UMAP,graph,latent_distance_corr,truth_geometry,1,10,0.7093288807,0.01219619256,0.6933995859,0.7258543417,0.03245475586,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,UMAP,graph,label_neighbor_recall,cell_state_support,1,10,0.8917037037,0.01913674082,0.8787962963,0.925,0.0462037037,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,UMAP,graph,pseudotime_distance_corr,continuum_support,1,10,0.6128903051,0.02480133331,0.5794269566,0.6433275303,0.06390057374,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PHATE,graph,truth_local_retention,truth_geometry,1,10,0.1365185185,0.01051050327,0.1247222222,0.147962963,0.02324074074,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PHATE,graph,truth_trustworthiness,truth_geometry,1,10,0.8917237366,0.006074011693,0.8827687444,0.8986626548,0.01589391041,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PHATE,graph,latent_distance_corr,truth_geometry,1,10,0.7488557871,0.02171774954,0.7304286964,0.7837396378,0.05331094141,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PHATE,graph,label_neighbor_recall,cell_state_support,1,10,0.9011481481,0.02410366771,0.8609259259,0.9242592593,0.06333333333,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PHATE,graph,pseudotime_distance_corr,continuum_support,1,10,0.6826363114,0.03240447667,0.6387598425,0.7296806557,0.09092081322,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,t-SNE,relational,truth_local_retention,truth_geometry,1,10,0.120962963,0.009609710524,0.1098148148,0.1303703704,0.02055555556,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,t-SNE,relational,truth_trustworthiness,truth_geometry,1,10,0.8514606249,0.01473868873,0.8368400287,0.8674264042,0.03058637547,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,t-SNE,relational,latent_distance_corr,truth_geometry,1,10,0.6096469765,0.07033589977,0.501337883,0.6920208886,0.1906830056,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,t-SNE,relational,label_neighbor_recall,cell_state_support,1,10,0.8602037037,0.02444246274,0.8372222222,0.9015740741,0.06435185185,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,t-SNE,relational,pseudotime_distance_corr,continuum_support,0.6,10,0.5658238973,0.1051306108,0.4050466185,0.669281225,0.2642346065,0.8,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PaCMAP,relational,truth_local_retention,truth_geometry,1,10,0.1535925926,0.007652597128,0.1458333333,0.1625925926,0.01675925926,0,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PaCMAP,relational,truth_trustworthiness,truth_geometry,0.6,10,0.8953145757,0.005838343625,0.88869746,0.9030532972,0.01435583719,0.2,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PaCMAP,relational,latent_distance_corr,truth_geometry,1,10,0.7678082044,0.01760182952,0.737872105,0.7836425219,0.04577041692,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PaCMAP,relational,label_neighbor_recall,cell_state_support,1,10,0.9182222222,0.01526197275,0.8993518519,0.9401851852,0.04083333333,1,5,five independently generated datasets and ten generated-dataset pairs
nonlinear_manifold,PaCMAP,relational,pseudotime_distance_corr,continuum_support,1,10,0.7310622226,0.09960770292,0.6400087048,0.9017207226,0.2617120178,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PCA,factor,truth_local_retention,truth_geometry,1,10,0.1159259259,0.003536140084,0.1126851852,0.1218518519,0.009166666667,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.8097288113,0.02179428516,0.7799804719,0.8357673096,0.05578683777,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PCA,factor,latent_distance_corr,truth_geometry,1,10,0.6515969028,0.1034513462,0.4818921793,0.7292964319,0.2474042526,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.7331666667,0.02936144545,0.7056481481,0.7701851852,0.06453703704,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,PCA,factor,pseudotime_distance_corr,continuum_support,0.6,10,0.4450225497,0.08412213986,0.3837898422,0.590441438,0.2066515957,0.2,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,GLM-PCA,factor,truth_local_retention,truth_geometry,1,10,0.1373703704,0.005864701083,0.1275,0.1426851852,0.01518518519,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,GLM-PCA,factor,truth_trustworthiness,truth_geometry,1,10,0.8493133801,0.01583182703,0.8221973803,0.8624908337,0.04029345342,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,GLM-PCA,factor,latent_distance_corr,truth_geometry,1,10,0.7091951059,0.05851276704,0.6373055691,0.7548717064,0.1175661373,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,GLM-PCA,factor,label_neighbor_recall,cell_state_support,1,10,0.809,0.03032880229,0.7631481481,0.8350925926,0.07194444444,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,GLM-PCA,factor,pseudotime_distance_corr,continuum_support,0.4,10,0.4485082436,0.0412749138,0.416873515,0.5189809836,0.1021074687,0.4,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,scScope,deep,truth_local_retention,truth_geometry,1,10,0.09318518519,0.010641423,0.08203703704,0.1066666667,0.02462962963,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,scScope,deep,truth_trustworthiness,truth_geometry,1,10,0.7910558212,0.02243903684,0.7603686434,0.8196563314,0.05928768797,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,scScope,deep,latent_distance_corr,truth_geometry,1,10,0.5585448357,0.08380042828,0.4801477254,0.7014074892,0.2212597637,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,scScope,deep,label_neighbor_recall,cell_state_support,1,10,0.7779074074,0.0225770856,0.7551851852,0.8086111111,0.05342592593,1,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,scScope,deep,pseudotime_distance_corr,continuum_support,0.6,10,0.3945644157,0.09893691983,0.2267408707,0.4845054762,0.2577646055,0.2,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,SAUCIE,deep,truth_local_retention,truth_geometry,1,10,0.1158888889,0.00550618495,0.1096296296,0.1246296296,0.015,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,SAUCIE,deep,truth_trustworthiness,truth_geometry,1,10,0.8404601732,0.02399508951,0.8130390828,0.8626756204,0.04963653754,0,5,five independently generated datasets and ten generated-dataset pairs
branching_trajectory,SAUCIE,deep,latent_distance_corr,truth_geometry,0.6,10,0.645609389,0.1533085137,0.3844999659,0.7616852707,0.3771853048,0.8,5,five independently generated datasets and ten generated-dataset pairs
