dataset_id,method,family,claim_gate,support,limiting_component,limiting_relative_margin,n_components
heart_cell_atlas_subsampled,UMAP,graph,global_geometry_gate,below_threshold,global_rank_corr,-0.3257824155265718,1
heart_cell_atlas_subsampled,scScope,deep,global_geometry_gate,below_threshold,global_rank_corr,-0.27028472745218296,1
heart_cell_atlas_subsampled,t-SNE,relational,global_geometry_gate,pass,global_rank_corr,0.11260080661080615,1
paul15,GLM-PCA,factor,global_geometry_gate,pass,global_rank_corr,0.4512429402113495,1
paul15,PCA,factor,global_geometry_gate,pass,global_rank_corr,0.549926255398501,1
paul15,PHATE,graph,global_geometry_gate,pass,global_rank_corr,0.3362268187510313,1
paul15,PaCMAP,relational,global_geometry_gate,pass,global_rank_corr,0.5183020283133679,1
paul15,SAUCIE,deep,global_geometry_gate,pass,global_rank_corr,0.2695995836448835,1
paul15,UMAP,graph,global_geometry_gate,pass,global_rank_corr,0.4178669443809371,1
paul15,scScope,deep,global_geometry_gate,pass,global_rank_corr,0.21057464537780332,1
paul15,t-SNE,relational,global_geometry_gate,pass,global_rank_corr,0.3814654641970153,1
pbmc3k,GLM-PCA,factor,global_geometry_gate,pass,global_rank_corr,0.17912054526114404,1
pbmc3k,PCA,factor,global_geometry_gate,pass,global_rank_corr,0.4480926252045805,1
pbmc3k,PHATE,graph,global_geometry_gate,pass,global_rank_corr,0.2139339684220365,1
pbmc3k,PaCMAP,relational,global_geometry_gate,pass,global_rank_corr,0.4024661977628843,1
pbmc3k,SAUCIE,deep,global_geometry_gate,pass,global_rank_corr,0.421697038009089,1
pbmc3k,UMAP,graph,global_geometry_gate,pass,global_rank_corr,0.16596152062495823,1
pbmc3k,scScope,deep,global_geometry_gate,below_threshold,global_rank_corr,-0.4131990189330451,1
pbmc3k,t-SNE,relational,global_geometry_gate,pass,global_rank_corr,0.305614508142596,1
paul15,GLM-PCA,factor,continuum_gate,below_threshold,pseudotime_rank_corr,-0.1207051531616358,2
paul15,PCA,factor,continuum_gate,below_threshold,pseudotime_rank_corr,-0.21612705963814,2
paul15,PHATE,graph,continuum_gate,below_threshold,pseudotime_rank_corr,-0.3452655389711052,2
paul15,PaCMAP,relational,continuum_gate,below_threshold,pseudotime_rank_corr,-0.28492905526171675,2
paul15,SAUCIE,deep,continuum_gate,below_threshold,pseudotime_rank_corr,-0.45607164583260223,2
paul15,UMAP,graph,continuum_gate,below_threshold,pseudotime_rank_corr,-0.4147782294499638,2
paul15,scScope,deep,continuum_gate,below_threshold,pseudotime_rank_corr,-0.5357737860017291,2
paul15,t-SNE,relational,continuum_gate,below_threshold,pseudotime_rank_corr,-0.49235825956031287,2
heart_cell_atlas_subsampled,GLM-PCA,factor,donor_aware_gate,pass,donor_entropy_norm,0.2207364557343794,2
heart_cell_atlas_subsampled,PCA,factor,donor_aware_gate,pass,donor_entropy_norm,0.2732569395483593,2
heart_cell_atlas_subsampled,PHATE,graph,donor_aware_gate,pass,donor_entropy_norm,0.05157950339710782,2
heart_cell_atlas_subsampled,PaCMAP,relational,donor_aware_gate,below_threshold,donor_entropy_norm,-0.01621661627818316,2
heart_cell_atlas_subsampled,SAUCIE,deep,donor_aware_gate,pass,donor_entropy_norm,0.22148442510405952,2
heart_cell_atlas_subsampled,UMAP,graph,donor_aware_gate,below_threshold,donor_entropy_norm,-0.011655388987835247,2
heart_cell_atlas_subsampled,scScope,deep,donor_aware_gate,pass,donor_entropy_norm,0.0016026348855546768,2
heart_cell_atlas_subsampled,t-SNE,relational,donor_aware_gate,below_threshold,donor_entropy_norm,-0.10005348256207003,2
