method,weakest analysis,minimum support,mean support
PCA,biological consistency,0.375,0.5068181818181818
GLM-PCA,empirical gates,0.5454545454545454,0.7091991341991343
scScope,empirical gates,0.45454545454545453,0.5265151515151515
SAUCIE,empirical gates,0.5454545454545454,0.5853896103896105
UMAP,empirical gates,0.36363636363636365,0.6122835497835498
PHATE,known-truth simulations,0.5071428571428571,0.6841991341991341
t-SNE,known-truth simulations,0.4928571428571429,0.6889069264069264
PaCMAP,empirical gates,0.45454545454545453,0.6449675324675325
