dataset_id,method,family,metric,mean_value,sd_across_seeds,min_value,max_value,value_range,pass_fraction,n_seeds,n_definition
paul15,PCA,factor,global_rank_corr,0.6974668149,0,0.6974668149,0.6974668149,0,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PCA,factor,label_neighbor_recall,0.3453235653,0,0.3453235653,0.3453235653,0,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PCA,factor,local_retention,0.08488400488,0,0.08488400488,0.08488400488,0,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PCA,factor,trustworthiness,0.851169712,0,0.851169712,0.851169712,0,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PHATE,graph,global_rank_corr,0.6035644192,0.001909454363,0.6013020684,0.6055727512,0.004270682812,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PHATE,graph,label_neighbor_recall,0.365006105,0.01406125914,0.3514285714,0.3808791209,0.02945054945,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PHATE,graph,local_retention,0.08506959707,0.005026688676,0.08041514042,0.0915995116,0.01118437118,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PHATE,graph,trustworthiness,0.8522563823,0.005229016701,0.847129754,0.8578531037,0.01072334963,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PaCMAP,relational,global_rank_corr,0.6826107621,0.0006295198121,0.6818443252,0.6832895774,0.001445252187,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PaCMAP,relational,label_neighbor_recall,0.5375286935,0.007066937359,0.5294749695,0.5472527473,0.01777777778,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PaCMAP,relational,local_retention,0.1794090354,0.001357498593,0.178021978,0.1813186813,0.003296703297,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,PaCMAP,relational,trustworthiness,0.9181217564,0.0003017892046,0.9179190837,0.9186468492,0.0007277654415,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,SAUCIE,deep,global_rank_corr,0.5706829403,0.009020440618,0.5562275694,0.5786287318,0.02240116231,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,SAUCIE,deep,label_neighbor_recall,0.5037606838,0.002283500801,0.5012698413,0.5074236874,0.006153846154,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,SAUCIE,deep,local_retention,0.1031111111,0.0008790530431,0.1022710623,0.1043956044,0.002124542125,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,SAUCIE,deep,trustworthiness,0.8684798557,0.0006523468208,0.8677530555,0.8692665558,0.00151350025,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,UMAP,graph,global_rank_corr,0.6324561067,0.003757507861,0.6281295134,0.638040125,0.009910611567,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,UMAP,graph,label_neighbor_recall,0.4935726496,0.007821433045,0.488009768,0.5073015873,0.01929181929,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,UMAP,graph,local_retention,0.1898021978,0.001090402629,0.1885958486,0.1915018315,0.002905982906,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,UMAP,graph,trustworthiness,0.9105700366,0.0002709818415,0.9102222836,0.9108641504,0.0006418668554,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,scScope,deep,global_rank_corr,0.5224152145,0.01551757137,0.5023803251,0.5447585904,0.04237826537,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,scScope,deep,label_neighbor_recall,0.5940854701,0.01334604492,0.5768986569,0.6096459096,0.03274725275,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,scScope,deep,local_retention,0.0725030525,0.002526558086,0.06971916972,0.07538461538,0.005665445665,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,scScope,deep,trustworthiness,0.8561012001,0.004427877602,0.8507114779,0.8605419134,0.009830435542,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,t-SNE,relational,global_rank_corr,0.6216594589,0,0.6216594589,0.6216594589,0,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,t-SNE,relational,label_neighbor_recall,0.5228327228,0,0.5228327228,0.5228327228,0,0,5,five computational random-seed runs for one method-dataset-metric combination
paul15,t-SNE,relational,local_retention,0.3063736264,0,0.3063736264,0.3063736264,0,1,5,five computational random-seed runs for one method-dataset-metric combination
paul15,t-SNE,relational,trustworthiness,0.9395209002,0,0.9395209002,0.9395209002,0,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,GLM-PCA,factor,global_rank_corr,0.5140340611,0.02805959385,0.4814849904,0.5376342993,0.05614930895,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,GLM-PCA,factor,label_neighbor_recall,0.8647156937,0.01033204052,0.8570634319,0.8827141774,0.02565074551,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,GLM-PCA,factor,local_retention,0.04323477382,0.001354028652,0.04210260298,0.04546373515,0.003361132171,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,GLM-PCA,factor,trustworthiness,0.7978206253,0.0008133323304,0.7969612048,0.7989934047,0.002032199877,0,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PCA,factor,global_rank_corr,0.6516416813,0,0.6516416813,0.6516416813,0,1,5,five computational random-seed runs for one method-dataset-metric combination
pbmc3k,PCA,factor,label_neighbor_recall,0.793631539,0,0.793631539,0.793631539,0,1,5,five computational random-seed runs for one method-dataset-metric combination
