dataset_id,method,family,claim_context,metric,value,threshold,support,support_definition
heart_cell_atlas_subsampled,t-SNE,relational,cross_context_embedding_support,all_four_metrics,4.0,4.0,strong,number of predeclared Fig3 diagnostic thresholds passed
paul15,GLM-PCA,factor,cross_context_embedding_support,local_retention,0.06229548229548229,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,GLM-PCA,factor,cross_context_embedding_support,trustworthiness,0.8363425713555008,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,GLM-PCA,factor,cross_context_embedding_support,global_rank_corr,0.6530593230951073,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,GLM-PCA,factor,cross_context_embedding_support,label_neighbor_recall,0.5456654456654457,0.55,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,GLM-PCA,factor,cross_context_embedding_support,all_four_metrics,1.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
paul15,PCA,factor,cross_context_embedding_support,local_retention,0.08488400488400488,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,PCA,factor,cross_context_embedding_support,trustworthiness,0.8511697119528667,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,PCA,factor,cross_context_embedding_support,global_rank_corr,0.6974668149293255,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,PCA,factor,cross_context_embedding_support,label_neighbor_recall,0.34532356532356534,0.55,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,PCA,factor,cross_context_embedding_support,all_four_metrics,1.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
paul15,PHATE,graph,cross_context_embedding_support,local_retention,0.0915995115995116,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,PHATE,graph,cross_context_embedding_support,trustworthiness,0.8578531036750467,0.9,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,PHATE,graph,cross_context_embedding_support,global_rank_corr,0.6013020684379641,0.45,pass,"diagnostic threshold support, not a universal method ranking"
paul15,PHATE,graph,cross_context_embedding_support,label_neighbor_recall,0.3783882783882784,0.55,below_threshold,"diagnostic threshold support, not a universal method ranking"
paul15,PHATE,graph,cross_context_embedding_support,all_four_metrics,1.0,4.0,partial,number of predeclared Fig3 diagnostic thresholds passed
paul15,PaCMAP,relational,cross_context_embedding_support,local_retention,0.17858363858363857,0.3,below_threshold,"diagnostic threshold support, not a universal method ranking"
