dataset_id,method,family,claim_gate,support,components,source_data,support_definition
paul15,t-SNE,relational,label_support_gate,below_threshold,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,GLM-PCA,factor,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
pbmc3k,GLM-PCA,factor,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,PCA,factor,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
pbmc3k,PCA,factor,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,PHATE,graph,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
pbmc3k,PHATE,graph,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,PaCMAP,relational,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
pbmc3k,PaCMAP,relational,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,SAUCIE,deep,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
pbmc3k,SAUCIE,deep,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,UMAP,graph,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
pbmc3k,UMAP,graph,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,scScope,deep,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
pbmc3k,scScope,deep,label_support_gate,pass,label_neighbor_recall,fig4_local_gate_metrics.csv,Label-neighbour recall passes the Fig4 diagnostic threshold.
pbmc3k,t-SNE,relational,local_neighbourhood_gate,below_threshold,local_retention;trustworthiness,fig4_local_gate_metrics.csv,All listed predeclared components pass the Fig4 diagnostic thresholds.
