family,metric,mean_threshold_margin,min_threshold_margin,max_threshold_margin,n_rows
deep,cell_type_label_recall,-0.00960416666666672,-0.32717500000000005,0.3079666666666666,2
deep,donor_entropy_norm,0.17935238004932874,0.11132089077644725,0.24738386932221024,2
deep,global_rank_corr,-0.01787514329087067,-0.1918593463066155,0.18976366710409004,6
deep,label_neighbor_recall,-0.06117896406130869,-0.4232112332112332,0.3596790497851907,6
deep,local_retention,-0.2544045317366205,-0.2934083333333334,-0.20056166056166058,6
deep,pseudotime_neighborhood_retention,-0.026680193314692596,-0.17181072636184042,0.11845033973245522,2
deep,pseudotime_rank_corr,-0.11678545989544976,-0.20523224062467102,-0.02833867916622851,2
deep,trustworthiness,-0.181807362280465,-0.3588307529982032,-0.024389648364046668,6
factor,cell_type_label_recall,0.20172916666666663,0.1563416666666666,0.24711666666666665,2
factor,donor_entropy_norm,0.12389162606277543,0.11054682921871106,0.1372364229068398,2
factor,global_rank_corr,0.1814515467257236,0.06736442636024415,0.28857278926008884,6
factor,label_neighbor_recall,0.12471323174445804,-0.20677655677655682,0.31315390447308566,6
factor,local_retention,-0.24479889086603457,-0.2570381602223907,-0.22039072039072038,6
factor,pseudotime_neighborhood_retention,0.123064428009735,0.09782268938454053,0.14830616663492946,2
factor,pseudotime_rank_corr,-0.07578724787994956,-0.097257176837163,-0.05431731892273611,2
factor,trustworthiness,-0.0758596388191664,-0.10100659527782174,-0.0488302880471333,6
graph,cell_type_label_recall,0.3935624999999999,0.38679166666666653,0.4003333333333333,2
graph,donor_entropy_norm,0.011091704784278233,-0.004520712009647321,0.026704121578203788,2
graph,global_rank_corr,0.07476691261740423,-0.14660208698695731,0.1880401249714217,6
graph,label_neighbor_recall,0.21900941217369377,-0.17630036630036633,0.4003333333333333,6
graph,local_retention,-0.15582826349372977,-0.2174603174603175,-0.06453333333333339,6
graph,pseudotime_neighborhood_retention,0.31421682597282274,0.3125182348592912,0.3159154170863543,2
graph,pseudotime_rank_corr,-0.17100984789474052,-0.18665020325248372,-0.15536949253699733,2
graph,trustworthiness,-0.005046331164077674,-0.06752048189161597,0.06697200597551278,6
relational,cell_type_label_recall,0.4052791666666666,0.3996916666666668,0.4108666666666664,2
relational,donor_entropy_norm,-0.0268438821678805,-0.0467195053136259,-0.006968259022135104,2
relational,global_rank_corr,0.14784997086440682,0.05067036297486277,0.23323591274101557,6
relational,label_neighbor_recall,0.24923793350634704,-0.03190476190476188,0.4108666666666664,6
relational,local_retention,-0.09408088174215927,-0.19332827899924188,0.032491666666666696,6
relational,pseudotime_neighborhood_retention,0.289240094767312,0.285796697385458,0.292683492149166,2
relational,pseudotime_rank_corr,-0.17488964583495667,-0.2215612168021408,-0.12821807486777254,2
relational,trustworthiness,0.027089773733790973,-0.03556076773691952,0.083373127951193,6
