dataset_id,method,family,local_retention,global_rank_corr,label_neighbor_recall,trustworthiness
heart_cell_atlas_subsampled,GLM-PCA,factor,0.0478916666666666,0.5173644263602442,0.7971166666666667,0.8365554845179892
heart_cell_atlas_subsampled,PCA,factor,0.0484,0.7385727892600888,0.7063416666666666,0.8159648959508587
heart_cell_atlas_subsampled,PHATE,graph,0.1867,0.5349083992108493,0.9367916666666666,0.9445504742802224
heart_cell_atlas_subsampled,PaCMAP,relational,0.2141583333333333,0.5628977729244395,0.9496916666666668,0.9666119489365258
heart_cell_atlas_subsampled,SAUCIE,deep,0.0625916666666666,0.4977815276070482,0.8579666666666667,0.8756103516359534
heart_cell_atlas_subsampled,UMAP,graph,0.2354666666666666,0.3033979130130427,0.9503333333333334,0.9669720059755128
heart_cell_atlas_subsampled,scScope,deep,0.0065916666666666,0.2967965131092298,0.222825,0.5411692470017968
heart_cell_atlas_subsampled,t-SNE,relational,0.3324916666666667,0.5006703629748628,0.9608666666666664,0.983373127951193
paul15,GLM-PCA,factor,0.059096459096459,0.6530593230951073,0.5454945054945056,0.8363425713555008
paul15,PCA,factor,0.0796092796092796,0.6974668149293255,0.3432234432234432,0.8511697119528667
paul15,PHATE,graph,0.0825396825396825,0.6013020684379641,0.3736996336996337,0.8578531036750467
paul15,PaCMAP,relational,0.166080586080586,0.6832359127410156,0.5367765567765568,0.9181019497680007
paul15,SAUCIE,deep,0.0994383394383394,0.5713198126401976,0.5000488400488401,0.8692665557977712
paul15,UMAP,graph,0.1695482295482295,0.6380401249714217,0.5055189255189256,0.9108641504208552
paul15,scScope,deep,0.0189010989010989,0.2581406536933845,0.1267887667887668,0.6016137242882718
paul15,t-SNE,relational,0.251037851037851,0.6216594588886569,0.5180952380952382,0.9395209002301724
pbmc3k,GLM-PCA,factor,0.0429618397776093,0.5306042453675148,0.8631539044730857,0.7989934047221783
pbmc3k,PCA,factor,0.0532474096537781,0.6516416813420612,0.7929492039423807,0.805816098585608
pbmc3k,PHATE,graph,0.0834723275208491,0.5462702857899164,0.9264847106393732,0.832479518108384
pbmc3k,PaCMAP,relational,0.1066717210007581,0.631109788993298,0.9165024008086936,0.8644392322630805
pbmc3k,SAUCIE,deep,0.0713166540308314,0.63976366710409,0.9096790497851908,0.8415744685580313
pbmc3k,UMAP,graph,0.1073035127621935,0.5246826842812312,0.9212282031842304,0.8570027605555128
pbmc3k,scScope,deep,0.0147333838766742,0.3289469661008259,0.3156178923426838,0.5799214790353857
pbmc3k,t-SNE,relational,0.1650745514278493,0.5875265286641682,0.9134950720242608,0.8904914832537735
