evidence_source,failed_cases,n_cases,weighted_failure_fraction
fig4_gate_pass_matrix.csv,49.0,88,0.5568181818181818
fig6_dropout_noise_response.csv,92.0,192,0.4791666666666667
fig6_mechanism_simulation_suite.csv,112.0,224,0.5
fig6_output_dimension_response.csv,97.0,240,0.4041666666666667
fig6_upstream_pca_response.csv,66.0,144,0.4583333333333333
fig6_worst_case_support.csv,531.0,531,1.0


