method,family,local_retention,trustworthiness,global_rank_corr,label_neighbor_recall
PCA,factor,0.031209279609279605,0.04535361336725874,0.0869311079180276,0.44972576071893744
GLM-PCA,factor,0.0161346193188497,0.03756207979581094,0.13569489673486312,0.3176593989785801
scScope,deep,0.012309432234432299,0.06044447728647495,0.0708063124074414,0.18882912555391698
SAUCIE,deep,0.03684667277167279,0.03403588307792205,0.14198213949704186,0.40963020973635067
UMAP,graph,0.12816315390447308,0.10996924541999997,0.334642211958379,0.44481440781440773
PHATE,graph,0.10416031746031751,0.11207095617183838,0.06639366922711476,0.5630920329670328
t-SNE,relational,0.1674171152388174,0.09288164469741955,0.12098909591379414,0.44277142857142826
PaCMAP,relational,0.10748661233257521,0.1021727166734453,0.12033813981657604,0.41291510989011004
