dataset_id,method,family,label_neighbor_recall,local_retention,trustworthiness
heart_cell_atlas_subsampled,GLM-PCA,factor,0.7971166666666667,0.0478916666666666,0.8365554845179892
heart_cell_atlas_subsampled,PCA,factor,0.7063416666666666,0.0484,0.8159648959508587
heart_cell_atlas_subsampled,PHATE,graph,0.9367916666666666,0.1867,0.9445504742802224
heart_cell_atlas_subsampled,PaCMAP,relational,0.9496916666666668,0.2141583333333333,0.9666119489365258
heart_cell_atlas_subsampled,SAUCIE,deep,0.8579666666666667,0.0625916666666666,0.8756103516359534
heart_cell_atlas_subsampled,UMAP,graph,0.9503333333333334,0.2354666666666666,0.9669720059755128
heart_cell_atlas_subsampled,scScope,deep,0.222825,0.0065916666666666,0.5411692470017968
heart_cell_atlas_subsampled,t-SNE,relational,0.9608666666666664,0.3324916666666667,0.983373127951193
paul15,GLM-PCA,factor,0.5454945054945056,0.059096459096459,0.8363425713555008
paul15,PCA,factor,0.3432234432234432,0.0796092796092796,0.8511697119528667
paul15,PHATE,graph,0.3736996336996337,0.0825396825396825,0.8578531036750467
paul15,PaCMAP,relational,0.5367765567765568,0.166080586080586,0.9181019497680007
paul15,SAUCIE,deep,0.5000488400488401,0.0994383394383394,0.8692665557977712
paul15,UMAP,graph,0.5055189255189256,0.1695482295482295,0.9108641504208552
paul15,scScope,deep,0.1267887667887668,0.0189010989010989,0.6016137242882718
paul15,t-SNE,relational,0.5180952380952382,0.251037851037851,0.9395209002301724
pbmc3k,GLM-PCA,factor,0.8631539044730857,0.0429618397776093,0.7989934047221783
pbmc3k,PCA,factor,0.7929492039423807,0.0532474096537781,0.805816098585608
pbmc3k,PHATE,graph,0.9264847106393732,0.0834723275208491,0.832479518108384
pbmc3k,PaCMAP,relational,0.9165024008086936,0.1066717210007581,0.8644392322630805
pbmc3k,SAUCIE,deep,0.9096790497851908,0.0713166540308314,0.8415744685580313
pbmc3k,UMAP,graph,0.9212282031842304,0.1073035127621935,0.8570027605555128
pbmc3k,scScope,deep,0.3156178923426838,0.0147333838766742,0.5799214790353857
pbmc3k,t-SNE,relational,0.9134950720242608,0.1650745514278493,0.8904914832537735


