dataset_id,method,family,seed,metric,value,k,n_cells,n_pcs_reference,n_definition,threshold,gate_component_pass,gate_name,score_definition,n_unit
pbmc3k,t-SNE,relational,0,trustworthiness,0.8904914832537735,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,t-SNE,relational,0,label_neighbor_recall,0.9134950720242608,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,PaCMAP,relational,0,local_retention,0.1066717210007581,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,PaCMAP,relational,0,trustworthiness,0.8644392322630805,15.0,2638,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
pbmc3k,PaCMAP,relational,0,label_neighbor_recall,0.9165024008086936,15.0,2638,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PCA,factor,0,local_retention,0.0796092796092796,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PCA,factor,0,trustworthiness,0.8511697119528667,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PCA,factor,0,label_neighbor_recall,0.3432234432234432,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,GLM-PCA,factor,0,local_retention,0.059096459096459,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,GLM-PCA,factor,0,trustworthiness,0.8363425713555008,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,GLM-PCA,factor,0,label_neighbor_recall,0.5454945054945056,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,scScope,deep,0,local_retention,0.0189010989010989,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,scScope,deep,0,trustworthiness,0.6016137242882718,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,scScope,deep,0,label_neighbor_recall,0.1267887667887668,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,SAUCIE,deep,0,local_retention,0.0994383394383394,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,SAUCIE,deep,0,trustworthiness,0.8692665557977712,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,SAUCIE,deep,0,label_neighbor_recall,0.5000488400488401,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,UMAP,graph,0,local_retention,0.1695482295482295,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,UMAP,graph,0,trustworthiness,0.9108641504208552,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,True,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,UMAP,graph,0,label_neighbor_recall,0.5055189255189256,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PHATE,graph,0,local_retention,0.0825396825396825,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PHATE,graph,0,trustworthiness,0.8578531036750467,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PHATE,graph,0,label_neighbor_recall,0.3736996336996337,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,t-SNE,relational,0,local_retention,0.251037851037851,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,t-SNE,relational,0,trustworthiness,0.9395209002301724,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,True,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,t-SNE,relational,0,label_neighbor_recall,0.5180952380952382,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PaCMAP,relational,0,local_retention,0.166080586080586,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PaCMAP,relational,0,trustworthiness,0.9181019497680007,15.0,2730,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,True,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
paul15,PaCMAP,relational,0,label_neighbor_recall,0.5367765567765568,15.0,2730,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,False,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
heart_cell_atlas_subsampled,PCA,factor,0,local_retention,0.0484,15.0,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
heart_cell_atlas_subsampled,PCA,factor,0,trustworthiness,0.8159648959508587,15.0,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
heart_cell_atlas_subsampled,PCA,factor,0,label_neighbor_recall,0.7063416666666666,15.0,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
heart_cell_atlas_subsampled,GLM-PCA,factor,0,local_retention,0.0478916666666666,15.0,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.3,False,local_neighbourhood_gate,Mean overlap between PCA-reference kNN and embedding kNN.,method-dataset-seed run; cells compute the metric and are not independent replicates
heart_cell_atlas_subsampled,GLM-PCA,factor,0,trustworthiness,0.8365554845179892,15.0,8000,50,method-dataset-seed run; cells compute the metric but are not independent replicates,0.9,False,local_neighbourhood_gate,sklearn trustworthiness between PCA-reference coordinates and embedding.,method-dataset-seed run; cells compute the metric and are not independent replicates
heart_cell_atlas_subsampled,GLM-PCA,factor,0,label_neighbor_recall,0.7971166666666667,15.0,8000,50,method-dataset-seed run; per-cell neighbour labels compute the metric,0.55,True,local_neighbourhood_gate,Mean fraction of same-label cells among embedding neighbours.,method-dataset-seed run; cells compute the metric and are not independent replicates
