evidence_layer,failed_cases,n_cases,weighted_failure_fraction
output dimension,97.0,240,0.4041666666666667
upstream PCA,66.0,144,0.4583333333333333
dropout/noise,92.0,192,0.4791666666666667
mechanism sim.,112.0,224,0.5
diagnostic gates,49.0,88,0.5568181818181818
worst-case stress,531.0,531,1.0


